GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DevOps_Project,tn.esprit.devops_project.entities,ProductCategory,0,21,0,0,0,2,0,1,0,1
DevOps_Project,tn.esprit.devops_project.entities,Stock,33,3,0,0,5,1,7,1,7,1
DevOps_Project,tn.esprit.devops_project.entities,Supplier,53,3,0,0,7,1,11,1,11,1
DevOps_Project,tn.esprit.devops_project.entities,Operator,53,3,0,0,7,1,11,1,11,1
DevOps_Project,tn.esprit.devops_project.entities,InvoiceDetail,53,3,0,0,7,1,11,1,11,1
DevOps_Project,tn.esprit.devops_project.entities,Invoice,93,3,0,0,11,1,19,1,19,1
DevOps_Project,tn.esprit.devops_project.entities,Customer,25,31,0,0,2,6,3,9,3,9
DevOps_Project,tn.esprit.devops_project.entities,Product,63,3,0,0,8,1,13,1,13,1
DevOps_Project,tn.esprit.devops_project.entities,SupplierCategory,0,15,0,0,0,2,0,1,0,1
DevOps_Project,tn.esprit.devops_project.controllers,WebConfig,0,47,0,0,0,7,0,2,0,2
DevOps_Project,tn.esprit.devops_project.controllers,InvoiceController,31,6,0,0,8,1,6,1,6,1
DevOps_Project,tn.esprit.devops_project.controllers,StockController,14,6,0,0,3,1,3,1,3,1
DevOps_Project,tn.esprit.devops_project.controllers,ProductController,30,6,0,0,7,1,6,1,6,1
DevOps_Project,tn.esprit.devops_project.controllers,SupplierController,24,6,0,0,6,1,5,1,5,1
DevOps_Project,tn.esprit.devops_project.controllers,CustomerController,14,6,0,0,4,1,3,1,3,1
DevOps_Project,tn.esprit.devops_project.controllers,OperatorController,24,6,0,0,6,1,5,1,5,1
DevOps_Project,tn.esprit.devops_project.services,InvoiceServiceImpl,104,19,0,0,15,2,11,2,11,2
DevOps_Project,tn.esprit.devops_project.services,CustomerServiceImpl,10,61,1,3,2,11,2,9,1,8
DevOps_Project,tn.esprit.devops_project.services,SupplierServiceImpl,36,10,0,0,6,2,6,2,6,2
DevOps_Project,tn.esprit.devops_project.services,ProductServiceImpl,141,9,2,0,26,1,16,1,15,1
DevOps_Project,tn.esprit.devops_project.services,OperatorServiceImpl,35,6,0,0,6,1,6,1,6,1
DevOps_Project,tn.esprit.devops_project.services,StockServiceImpl,23,6,0,0,3,1,4,1,4,1
DevOps_Project,tn.esprit.devops_project,DevOps_ProjectSpringBootApplication,5,3,0,0,2,1,1,1,1,1
